N°Ins,Année,Code_UE,UE,Coef_UE,credit_UE,AnnéEtude,type_UE,Moy_UE,credit_obtenue,Aquit,An_d_obtent_UE
14010696401,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,9.35,6.0,false,2007
14010696401,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,10.17,9.0,true,2007
14010696401,1,UEM ,Unite ensgnement methodo,3,6.0,1MIAS171,Transversal,11.50,6.0,true,2006
14010696401,1,UEF21,Unite Fondamentale 21,4,12.0,1MIAS172,Fondamental,9.75,8.0,false,2007
14010696449,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,7.95,11.0,false,2010
14010696449,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,2.65,4.0,false,2010
14010696449,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2010
14010696449,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2010
14010696449,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,3.93,4.0,false,2010
14010696449,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2010
14010696459,3,UE13,Unité Enseignement INF 07,3,18.0,3MIAS175,Fondamental,0.00,0.0,false,2010
14010696459,3,UE14,Unité Enseignement INF 08,2,12.0,3MIAS175,Fondamental,0.00,0.0,false,2010
14010796606,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,0.00,0.0,false,2010
14010796606,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,0.00,0.0,false,2010
14010796606,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,0.00,0.0,false,2010
14010796606,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,0.00,0.0,false,2010
14010696401,1,UEF22,Unite fondamentale 22,4,12.0,1MIAS172,Fondamental,9.60,6.0,false,2008
14010696401,1,UED23,Unite decouverte 23 ,2,4.0,1MIAS172,Découverte,11.00,6.0,true,2007
14010696401,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,0.00,0.0,false,2010
14010696401,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,0.00,0.0,false,2010
14010696401,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,0.00,0.0,false,2010
14010696401,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,0.00,0.0,false,2010
14010696401,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,0.00,0.0,false,2010
14010696401,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,0.00,0.0,false,2010
14010796606,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,0.00,0.0,false,2010
14010796606,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,0.00,0.0,false,2010
14010796647,3,UE13,Unité Enseignement INF 07,3,18.0,3MIAS175,Fondamental,5.76,0.0,false,2010
14010796647,3,UE14,Unité Enseignement INF 08,2,12.0,3MIAS175,Fondamental,5.52,0.0,false,2010
14010796647,3,UE15,Unité Fondamentale INF9,1,10.0,3MIAS176,Fondamental,0.00,0.0,false,2010
14010796647,3,UE16,Projet PFE,2,20.0,3MIAS176,Fondamental,0.00,0.0,false,2010
14010896694,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2010
14010896694,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2010
14010896694,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2010
14010696459,3,UE15,Unité Fondamentale INF9,1,10.0,3MIAS176,Fondamental,0.00,0.0,false,2010
14010696459,3,UE16,Projet PFE,2,20.0,3MIAS176,Fondamental,0.00,0.0,false,2010
14010896694,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2010
14010896694,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2010
14010896694,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2010
14010896715,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2010
14010896715,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2010
14010896715,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2010
14010896715,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2010
14010896715,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2010
