N°Ins,Année,Code_UE,UE,Coef_UE,credit_UE,AnnéEtude,type_UE,Moy_UE,credit_obtenue,Aquit,An_d_obtent_UE
14010696449,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,7.95,11.0,false,2014
14010696449,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,2.65,4.0,false,2014
14010696449,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2014
14010696449,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2014
14010696449,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,3.93,4.0,false,2014
14010696449,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2014
14010696529,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2014
14010696529,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2014
14010696529,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2014
14010696529,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0,0.0,false,2012
14010796647,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,10.85,6.5,true,2013
14010796647,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,8.79,3.5,false,2013
14010796647,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,12.92,9.0,true,2013
14010796647,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,8.00,0.0,false,2013
14010996922,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,9.09,3.0,false,2014
14010896694,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2014
14010896694,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2014
14010896694,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2014
14010896694,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2014
14010896694,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2014
14010896694,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2014
14010896715,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2014
14010896715,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2014
14010896715,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2014
14010896715,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2014
14010896715,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2014
14010896715,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2014
14011599299,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,4.76,0.0,false,2014
14011599299,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,1.25,0.0,false,2014
14011599299,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,3.24,0.0,false,2014
14011599299,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,0.00,0.0,false,2014
14010996922,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,9.71,6.0,false,2014
14011599301,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,0.37,0.0,false,2014
14011599299,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,0.00,0.0,false,2014
14011599299,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,1.52,0.0,false,2014
14011599299,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,0.00,0.0,false,2014
14011599299,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,13.10,3.0,true,2012
14011599299,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,12.00,2.5,true,2012
14010996922,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,10.13,9.0,true,2014
14010996922,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,10.00,2.5,true,2014
14010996922,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,14.00,2.5,true,2014
14010996922,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,9.52,8.5,false,2014
14010996922,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,9.45,6.5,false,2014
14010996922,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,14.00,3.0,true,2014
14010996922,1,UET,UE Transversales,1,2.5,1MGI202,Transversal,11.00,2.5,true,2014
14010997045,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,10.69,6.5,true,2014
14010997045,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,10.23,9.5,true,2014
14011097124,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,13.79,9.0,true,2010
14011097124,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,11.57,15.0,true,2010
14011097124,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,13.50,6.0,true,2010
14011097124,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,7.33,2.0,false,2010
14011097124,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,11.53,12.0,true,2010
14011097124,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,11.92,12.0,true,2010
14011097126,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,1.93,0.0,false,2014
14011097126,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,3.01,0.0,false,2014
14011097126,1,UEM ,Unite ensgnement methodo,2,6.0,1MIAS171,Transversal,11.00,6.0,true,2010
14011097126,1,UED23,Unite decouverte 23 ,1,6.0,1MIAS172,Découverte,10.50,6.0,true,2010
14011097126,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,3.74,0.0,false,2014
14011097126,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,2.99,3.0,false,2014
14011097138,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2014
14011097138,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2014
14011097138,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2014
14011097138,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2014
14011097138,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,0.00,0.0,false,2014
14010896826,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2014
14010896826,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2014
14010896826,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2014
14011599301,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,0.00,0.0,false,2014
14011599301,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,0.67,0.0,false,2014
14011599301,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,0.00,0.0,false,2014
14011599301,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,0.00,0.0,false,2014
14011599301,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,0.00,0.0,false,2014
14010997045,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,7.14,0.0,false,2014
14010997045,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,12.00,2.5,true,2014
14010997045,1,UTE,UE Transversale (o),1,2.5,1MGI201,Transversal,11.00,2.5,true,2014
14010997045,1,VTIM,Vision et Traitement Image,5.2,13.0,1MGI202,Fondamental,8.17,0.0,false,2014
14010997045,1,TCE,Technologie des Télécom,4.6,11.5,1MGI202,Méthodologique,10.19,11.5,true,2014
14010997045,1,EDP,EU Découverte (P),1.2,3.0,1MGI202,Découverte,12.40,3.0,true,2014
